SA1_CODE21,Education level,Income level,Adaptive Capability Index
1156124,939.0,1039.0,0.77148175
1156125,968.0,968.0,0.7550707
1156126,990.0,1011.0,0.78042805
1156127,962.0,998.0,0.76444197
1156128,951.0,1006.0,0.76327777
1156129,985.0,980.0,0.7663796
1156130,964.0,970.0,0.7542925
1156131,914.0,953.0,0.7281714
1156132,1067.0,1126.0,0.8553227
1156133,918.0,1028.0,0.7590043
1156134,944.0,978.0,0.7496208
1156135,925.0,988.0,0.74611944
1156201,1020.0,1132.0,0.8393482
1156202,1004.0,1100.0,0.82062256
1156203,1075.0,1177.0,0.8783467
1156204,1105.0,1083.0,0.85334796
1156205,1033.0,1160.0,0.85534334
1156206,1043.0,1181.0,0.86743724
1156207,1068.0,1148.0,0.8642994
1156208,1054.0,1148.0,0.85884345
1156209,1027.0,1103.0,0.8307569
1156301,1061.0,1083.0,0.8362006
1156302,1082.0,1077.0,0.8420427
1156303,1057.0,1146.0,0.85923195
1156304,1051.0,1109.0,0.8424519
1156305,1064.0,1069.0,0.8319053
1156306,1027.0,949.0,0.7706476
1156307,1015.0,1131.0,0.8370093
1156308,972.0,1043.0,0.7859035
1156309,1023.0,1057.0,0.8112433
1156310,1008.0,1049.0,0.80227506
1156311,1013.0,1101.0,0.82452023
1156312,1016.0,997.0,0.7850961
1156313,1036.0,1021.0,0.802258
1156314,1056.0,1063.0,0.8264457
1156315,1020.0,1063.0,0.8124161
1156316,1020.0,1078.0,0.81827086
1156317,1058.0,1054.0,0.8237122
1156318,1030.0,1080.0,0.8229486
1156319,1043.0,1083.0,0.82918584
1156320,987.0,1110.0,0.81790066
1156321,1035.0,1105.0,0.83465517
1156322,1001.0,935.0,0.75505054
1156323,1012.0,1047.0,0.80305326
1156324,1031.0,1071.0,0.8198255
1156325,1021.0,1122.0,0.8358346
1156326,1062.0,1077.0,0.8342484
1156327,1051.0,1119.0,0.8463551
1156328,1031.0,1028.0,0.8030417
1156329,953.0,1020.0,0.7695216
1156330,986.0,1042.0,0.79096913
1156331,1041.0,1049.0,0.8151355
1156332,1031.0,1138.0,0.84597695
1156333,1046.0,1072.0,0.8260615
1156334,978.0,972.0,0.76052904
1156335,1016.0,1168.0,0.85184085
1156336,984.0,1153.0,0.8335153
1156337,1032.0,1009.0,0.7960153
1156338,1056.0,1111.0,0.84518105
1156339,1036.0,1100.0,0.8330933
1156340,1028.0,1030.0,0.8026532
1156341,1069.0,1130.0,0.8576634
