SA1_CODE21,mean
1104811,0.392712551
1104812,0.305785124
1104813,0.327659574
1104814,0.531772575
1104815,0.791946309
1104816,0.705479452
1104817,0.588541667
1104818,0.530434783
1104819,0.559585492
1104820,0.730769231
1104821,1.017482517
1104822,0.334801762
1104823,0.412162162
1104824,0.526490066
1104825,0.517857143
1104826,0.770408163
1104827,0.579207921
1104828,0.452173913
1104829,0.437229437
1104830,0.574626866
1104831,0.25625
1104832,0.544600939
1104833,0.472103004
1104834,0.533834586
1104835,0.510638298
1104836,0.415178571
1104837,0.582278481
1104838,0.441558442
1104840,0.302158273
1104841,0.405405405
1104842,0.592592593
1104843,0.522222222
1104844,0.343065693
1104845,0.557377049
1104846,0.788381743
1104847,0.4375
1104848,0.291428571
1104849,1.021148036
1104901,0.133333333
1104902,0.225806452
1104903,0.273148148
1104904,0.294797688
1104905,0.23630137
1104906,0.195530726
1104907,0.299319728
1104908,0.423913043
1104909,0
1104910,0.293172691
1105001,0.29122807
1105002,0.480769231
1105003,0.280487805
1105004,0.207317073
1105005,0.34375
1105006,0.25136612
1105007,0.413043478
1105008,0.905172414
1105009,0.265116279
1105010,0.302816901
1105011,0.309677419
1105012,0.285714286
1105013,0.380952381
1105014,0
1105015,0.548672566
1105016,0
1105017,1.63583815
1105018,0.308219178
1105019,0.217171717
1105020,1.878378378
1105021,1.97716895
1105022,0.162790698
1105024,0.505208333
1105025,0.451219512
1105026,0.511415525
1105027,2.037735849
1105028,1.316793893
1105101,0.163179916
1105102,0.279069767
1105103,0.439252336
1105104,0.333333333
1105105,0
1105106,0.410423453
1105107,0.311111111
1105108,0.256916996
1105109,0.181818182
1105110,0.145348837
1105111,0.214876033
1105112,0.268456376
1105113,0.284768212
1105114,0.3
1105115,0.253968254
1105116,0.19858156
1105201,0.488135593
1105202,0.487562189
1105203,0.315789474
1105204,0.371681416
1105205,0.536585366
1105206,0.634146341
1105207,0.544041451
1105208,0.413978495
1105209,0.681818182
1105210,0.608695652
1105211,0
1105213,0.566176471
1105214,0.435714286
1105215,0.5
1105216,0.432989691
1105301,0.532407407
1105302,0.512820513
1105303,0.625
1105304,0.429411765
1105305,0.571942446
1105306,0.340425532
1105307,0.611111111
1105308,0.529801325
1105309,0.327272727
1105310,0.559748428
1105311,0.568493151
1105312,0.51572327
1105313,0.503816794
1105314,0.608695652
1105315,0.447204969
1105316,0.651567944
1105317,0.405797101
1105318,0.396449704
1105319,0.567010309
1105320,0.375838926
1105321,0.367601246
1105322,0.578947368
1105323,0
1105324,0.353846154
1105325,0.586021505
1105326,0.484662577
1105327,0.590277778
1105328,0.561056106
1105329,0.401785714
1105330,0.591489362
1105331,0.784722222
1105332,0.563157895
1105333,0.397350993
1105334,0.716
1105335,0.323232323
1105336,0.571428571
1105337,0.355805243
1105401,0.538793103
1105402,0.758865248
1105403,0.421052632
1105404,0.980295567
1105405,0.608695652
1105406,1.766666667
1105407,0.52233677
1105408,0.4
1105409,0.351190476
1105410,0.455621302
1105411,0.336363636
1105412,0.411764706
1105413,0.277777778
1105414,0.606382979
1105415,0
1105416,0
1105417,0.602339181
1105418,0.516014235
1105419,0.941935484
1105420,0.413953488
1105421,0.533333333
1105422,0.532751092
1105423,0.456989247
1105424,0.542635659
1105501,0.661538462
1105502,0.19921875
1105503,0.404878049
1105504,0
1105505,0.113207547
1105506,0.489451477
1105507,0.195744681
1105508,0.301075269
1105509,0.470588235
1105510,0.321428571
1105511,0.236842105
1105512,0.425531915
1105513,0.301470588
1105514,0.260869565
1105601,0.485185185
1105602,0.129746835
1105603,0.225454545
1105604,0.38372093
1105605,0.379928315
